,Wine,Location,Rating,Price,Year
0,Denner 2015 Dirt Worshipper Syrah (Central Coast),Central Coast,96,70.0,2015
1,Villa Creek 2014 Slide Hill Syrah (Edna Valley),Central Coast,95,65.0,2014
2,Epoch Estate Wines 2014 Block B Paderewski Vineyard Syrah (Paso Robles Willow Creek District),Central Coast,95,95.0,2014
3,MTR Productions 2012 Memory Found Syrah (Walla Walla Valley (WA)),Columbia Valley,94,85.0,2012
4,Halcón 2015 Alturas Syrah (Yorkville Highlands),North Coast,94,32.0,2015
5,Longboard 2014 Savage Côast Syrah (Russian River Valley),Sonoma,94,68.0,2014
6,Epoch Estate Wines 2014 Authenticity Syrah (Paso Robles Willow Creek District),Central Coast,93,80.0,2014
7,Potek 2013 Mormann Vineyard Syrah (Sta. Rita Hills),Central Coast,93,50.0,2013
8,Francis Coppola 2014 Nimble Vineyards Reserve Syrah (Dry Creek Valley),Sonoma,93,40.0,2014
9,Kagan 2015 Grist Vineyard Syrah (Dry Creek Valley),Sonoma,93,54.0,2015
10,Two Vintners 2015 Some Days Are Stones Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,92,50.0,2015
11,Two Vintners 2015 Some Days Are Diamonds May's Discovery Vineyard Syrah (Horse Heaven Hills),Columbia Valley,92,50.0,2015
12,Montemar Wines 2013 Watch Hill Vineyard Syrah (Santa Barbara County),Central Coast,92,48.0,2013
13,August Briggs 2014 Page Nord Vineyard Syrah (Napa Valley),Napa,92,32.0,2014
14,Lava Cap 2014 Estate Bottled Syrah (El Dorado),Sierra Foothills,92,24.0,2014
15,Le Casque 2015 Syrah (Sierra Foothills),Sierra Foothills,92,28.0,2015
16,Montemar Wines 2013 Syrah (Santa Barbara County),Central Coast,91,36.0,2013
17,Two Vintners 2015 Syrah (Columbia Valley (WA)),Columbia Valley,91,21.0,2015
18,Iron Hub 2014 Estate Bottled Syrah (Shenandoah Valley (CA)),Sierra Foothills,91,26.0,2014
19,Michael David 2015 6th Sense Syrah (Lodi),Central Valley,91,16.0,2015
20,Red Car 2014 Syrah (Sonoma Coast),Sonoma,91,38.0,2014
21,Tercero 2013 Larner Vineyard Syrah (Ballard Canyon),Central Coast,91,40.0,2013
22,Crawford Family 2015 Zotovich Vineyard Syrah (Sta. Rita Hills),Central Coast,91,42.0,2015
23,Potek 2013 Kimsey Vineyard Syrah (Ballard Canyon),Central Coast,90,60.0,2013
24,Reyes 2015 Syrah (Sierra Pelona Valley),South Coast,90,32.0,2015
25,Klinker Brick 2014 Farrah Grand Reserve Syrah (Lodi),Central Valley,90,65.0,2014
26,Pride Mountain 2015 Syrah (Sonoma County-Napa County),Napa-Sonoma,90,62.0,2015
27,Westwood 2015 Annadel Gap Vineyard Syrah (Sonoma Valley),Sonoma,90,58.0,2015
28,Efeste 2015 Ceidleigh Syrah (Red Mountain),Columbia Valley,90,39.0,2015
29,Labyrinth 2014 Colson Canyon Vineyard Syrah (Santa Barbara County),Central Coast,90,36.0,2014
30,Syncline 2015 Estate Grown Syrah (Columbia Gorge (WA)),Washington Other,90,60.0,2015
31,Betz Family 2015 La Côte Patriarche Red Willow Vineyard Syrah (Yakima Valley),Columbia Valley,90,60.0,2015
32,Mengler Family Wines 2016 Luke's Selection Rosé of Syrah (Russian River Valley),Sonoma,89,28.0,2016
33,Leoness 2014 Signature Selection Syrah (Temecula Valley),South Coast,89,95.0,2014
34,Fenestra 2013 Estate Syrah (Livermore Valley),Central Coast,89,30.0,2013
35,Mt. Konocti Winery 2014 Winona Vineyard Syrah (Lake County),California,89,25.0,2014
36,Leoness 2014 Fitzpatrick Vineyard Syrah (Temecula Valley),South Coast,89,52.0,2014
37,Robert Renzoni 2017 Lyric Rosé of Syrah (Temecula Valley),South Coast,89,29.0,2017
38,Sparkman 2014 Ruckus Syrah (Red Mountain),Columbia Valley,89,52.0,2014
39,Sawtooth 2015 Trout Trilogy Syrah,Idaho,88,35.0,2015
40,Syncline 2015 Ciel du Cheval Vineyard Syrah (Red Mountain),Columbia Valley,88,50.0,2015
41,Morgan 2015 G 17 Syrah (Santa Lucia Highlands),Central Coast,88,22.0,2015
42,Shooting Star 2013 Syrah (Lake County),California,88,14.0,2013
43,Basel Cellars 2015 Syrah (Columbia Valley (WA)),Columbia Valley,87,34.0,2015
44,Basel Cellars 2015 Double River Estate Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,87,36.0,2015
45,Callaway 2014 Wild Yeast Syrah (Temecula Valley),South Coast,86,58.0,2014
46,Kunde 2015 Estate Grown Syrah (Sonoma Valley),Sonoma,86,35.0,2015
47,Koenig Vineyards 2014 Cuvée Amelia Reserve Syrah,Idaho,85,50.0,2014
48,Callaway 2014 Winemaker's Reserve Syrah (Temecula Valley),South Coast,85,48.0,2014
49,Domenico 2012 Syrah (Amador County),Sierra Foothills,82,30.0,2012
50,Justin 2014 Focus Syrah (Paso Robles),Central Coast,94,105.0,2014
51,Proper 2015 Estate Syrah (Walla Walla Valley (WA)),Columbia Valley,93,48.0,2015
52,Scar of the Sea 2015 House Vineyard Syrah (Santa Cruz Mountains),Central Coast,93,60.0,2015
53,Kerloo 2015 Limited Release Upland Vineyard Syrah (Snipes Mountain),Columbia Valley,93,40.0,2015
54,Topa Mountain Winery 2014 Bien Nacido Vineyard Reserve Syrah (Santa Maria Valley),Central Coast,93,45.0,2014
55,Wrath 2015 San Saba Vineyard Syrah (Monterey),Central Coast,93,39.0,2015
56,Abacela 2014 Reserve South Face Block Syrah (Umpqua Valley),Southern Oregon,93,42.0,2014
57,Archium 2015 Faction Syrah (Santa Barbara County),Central Coast,93,40.0,2015
58,Stolo 2015 Creekside Estate Syrah (San Luis Obispo County),Central Coast,93,32.0,2015
