date,station,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,HDSD,HTDD,MN01,MX01,PRCP,SNOW,TAVG,TMAX,TMIN,WDMV
1994-01-01T00:00:00,GHCND:USC00041253,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,31.0,0.0,0.0,1.03,84.0,2.66,929.0,345.0,39.0,60.0,1.65,0.0,53.9,70.6,37.2,461.1
1994-02-01T00:00:00,GHCND:USC00041253,0.0,0.0,8.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,32.0,0.0,0.0,1.91,78.0,2.81,1288.0,359.0,41.0,62.0,7.52,0.0,52.2,64.9,39.5,768.6
1994-03-01T00:00:00,GHCND:USC00041253,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,35.0,0.0,0.0,1.64,87.0,4.23,1483.0,195.0,48.0,74.0,2.9,0.0,58.7,72.9,44.6,953.8
1994-04-01T00:00:00,GHCND:USC00041253,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,40.0,0.0,0.0,0.34,85.0,5.63,1652.0,169.0,50.0,78.0,0.82,0.0,59.4,73.4,45.5,1134.0
1994-05-01T00:00:00,GHCND:USC00041253,19.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,42.0,0.0,0.0,0.36,95.0,6.36,1770.0,119.0,54.0,80.0,0.9,0.0,61.7,75.4,47.9,959.4
1994-06-01T00:00:00,GHCND:USC00041253,141.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,44.0,0.0,0.0,0.0,104.0,9.37,1788.0,18.0,56.0,90.0,0.0,0.0,68.5,89.2,47.7,857.5
1994-07-01T00:00:00,GHCND:USC00041253,305.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,13.0,48.0,0.0,0.0,0.0,99.0,8.91,0.0,0.0,58.0,91.0,0.0,0.0,70.3,89.5,51.1,518.8
1994-08-01T00:00:00,GHCND:USC00041253,586.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,47.0,0.0,0.0,0.0,109.0,9.13,0.0,0.0,60.0,92.0,0.0,0.0,74.1,95.0,53.1,398.9
1994-09-01T00:00:00,GHCND:USC00041253,731.0,145.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,43.0,0.0,0.0,0.04,99.0,6.37,6.0,6.0,57.0,85.0,0.06,0.0,69.7,88.9,50.4,347.3
1994-10-01T00:00:00,GHCND:USC00041253,781.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,39.0,0.0,0.0,0.65,94.0,4.98,73.0,67.0,51.0,75.0,1.03,0.0,64.4,81.2,47.7,440.6
1994-11-01T00:00:00,GHCND:USC00041253,787.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,30.0,0.0,0.0,0.89,90.0,2.95,438.0,366.0,41.0,62.0,1.39,0.0,53.0,67.6,38.4,357.9
1994-12-01T00:00:00,GHCND:USC00041253,787.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,27.0,0.0,0.0,0.65,80.0,1.9,829.0,391.0,41.0,58.0,1.02,0.0,52.4,67.0,37.7,172.7
1995-01-01T00:00:00,GHCND:USC00041253,0.0,0.0,18.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,6.25,72.0,1.73,1204.0,375.0,45.0,58.0,25.13,0.0,52.9,60.4,45.4,286.5
1995-02-01T00:00:00,GHCND:USC00041253,19.0,19.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,38.0,0.0,0.0,1.49,92.0,2.39,1369.0,164.0,48.0,69.0,1.96,0.0,59.8,73.6,46.0,252.3
1995-03-01T00:00:00,GHCND:USC00041253,19.0,0.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,34.0,0.0,0.0,4.95,79.0,3.31,1636.0,267.0,48.0,69.0,12.34,0.0,56.4,67.6,45.2,973.1
1995-04-01T00:00:00,GHCND:USC00041253,28.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,37.0,0.0,0.0,0.36,89.0,5.59,1824.0,187.0,47.0,77.0,0.46,0.0,59.1,74.0,44.2,1217.9
1995-05-01T00:00:00,GHCND:USC00041253,48.0,20.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,39.0,0.0,0.0,0.77,92.0,5.67,1964.0,140.0,52.0,77.0,1.78,0.0,61.1,73.8,48.5,1232.8
1995-06-01T00:00:00,GHCND:USC00041253,146.0,98.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,42.0,0.0,0.0,0.27,102.0,7.74,2011.0,47.0,54.0,86.0,0.48,0.0,66.7,83.9,49.5,864.3
1995-07-01T00:00:00,GHCND:USC00041253,377.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,42.0,0.0,0.0,0.0,106.0,9.3,0.0,0.0,60.0,92.0,0.0,0.0,72.4,91.9,53.0,706.5
1995-08-01T00:00:00,GHCND:USC00041253,622.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,46.0,0.0,0.0,0.0,102.0,9.15,0.0,0.0,59.0,91.0,0.0,0.0,72.9,94.6,51.3,867.4
1995-09-01T00:00:00,GHCND:USC00041253,802.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,45.0,0.0,0.0,0.0,103.0,6.67,4.0,4.0,56.0,86.0,0.0,0.0,70.8,90.9,50.8,799.7
1995-10-01T00:00:00,GHCND:USC00041253,888.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,37.0,0.0,0.0,0.0,100.0,5.17,26.0,21.0,53.0,78.0,0.0,0.0,67.1,86.4,47.7,767.4
1995-11-01T00:00:00,GHCND:USC00041253,906.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,38.0,0.0,0.0,0.25,89.0,3.3,104.0,78.0,,,0.3,0.0,63.0,80.0,46.0,685.4
1995-12-01T00:00:00,GHCND:USC00041253,906.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,29.0,0.0,0.0,0.57,84.0,2.34,406.0,302.0,43.0,61.0,1.35,0.0,55.3,69.4,41.1,1209.2
1996-01-01T00:00:00,GHCND:USC00041253,0.0,0.0,,,,,,0.0,2.0,0.0,14.0,0.0,29.0,,,,85.0,2.54,717.0,311.0,42.0,66.0,,,54.6,69.1,40.1,1029.0
1996-02-01T00:00:00,GHCND:USC00041253,10.0,10.0,,,,,,0.0,3.0,0.0,12.0,0.0,32.0,,,,89.0,2.34,961.0,244.0,47.0,65.0,,,56.9,68.0,45.8,915.9
1996-03-01T00:00:00,GHCND:USC00041253,13.0,3.0,,,,,,0.0,0.0,0.0,23.0,0.0,35.0,,,,84.0,4.2,1177.0,216.0,46.0,72.0,,,57.9,72.3,43.4,1052.6
