date,station,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
1994-01-01T00:00:00,GHCND:USC00048351,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,0.0,1.16,67.0,,449.0,3.36,0.0,47.6,59.5,35.8
1994-02-01T00:00:00,GHCND:USC00048351,0.0,0.0,11.0,9.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,27.0,0.0,0.0,1.0,73.0,,385.0,5.46,0.0,49.1,60.9,37.3
1994-03-01T00:00:00,GHCND:USC00048351,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,31.0,0.0,0.0,0.21,82.0,,244.0,0.23,0.0,56.2,71.0,41.3
1994-04-01T00:00:00,GHCND:USC00048351,,,6.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,37.0,0.0,0.0,0.59,,,,1.33,0.0,,,42.7
1994-05-01T00:00:00,GHCND:USC00048351,,14.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,41.0,0.0,0.0,0.6,90.0,,96.0,1.37,0.0,62.0,76.6,47.4
1994-06-01T00:00:00,GHCND:USC00048351,,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,44.0,0.0,0.0,0.05,105.0,,11.0,0.05,0.0,68.0,87.5,48.5
1994-07-01T00:00:00,GHCND:USC00048351,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,46.0,0.0,0.0,0.0,96.0,4.0,4.0,0.0,0.0,67.9,84.6,51.1
1994-08-01T00:00:00,GHCND:USC00048351,,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,46.0,0.0,0.0,0.0,102.0,5.0,0.0,0.0,0.0,70.2,90.1,50.2
1994-09-01T00:00:00,GHCND:USC00048351,,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,44.0,0.0,0.0,0.0,98.0,12.0,7.0,0.0,0.0,67.9,86.0,49.9
1994-10-01T00:00:00,GHCND:USC00048351,,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,36.0,0.0,0.0,0.44,88.0,114.0,102.0,0.59,0.0,61.8,78.9,44.8
1994-11-01T00:00:00,GHCND:USC00048351,,0.0,9.0,5.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,28.0,0.0,0.0,2.0,78.0,564.0,450.0,6.49,0.0,48.4,59.6,37.2
1994-12-01T00:00:00,GHCND:USC00048351,,0.0,12.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.9,64.0,1071.0,508.0,3.91,0.0,45.6,54.8,36.3
